id,id_serie,titulo,duracion,numero_temporada,serie
1,1,Episode 1,62,1,Sex Education
2,1,Episode 2,66,1,Sex Education
3,1,Episode 3,59,1,Sex Education
4,1,Episode 4,65,1,Sex Education
5,1,Episode 5,64,1,Sex Education
6,2,En el que todo empieza,22,1,Friends
7,2,El de la ecografía final,20,1,Friends
8,2,El del pulgar,21,1,Friends
9,2,El de George Stephanopoulos,23,1,Friends
10,2,El del detergente de lavandería germano-oriental,22,1,Friends
11,2,El de la nueva novia de Ross,25,2,Friends
12,2,El de la leche materna,22,2,Friends
13,2,El de cuando muere Heckles,23,2,Friends
14,2,El esposo de Phoebe,24,2,Friends
15,2,El de la carne para cinco y una berenjena,26,2,Friends
16,2,El de la fantasía de la Princesa Leia,25,3,Friends
17,2,El de cuando nadie está listo,22,3,Friends
18,2,El de la mermelada,24,3,Friends
19,2,El del túnel metafórico,22,3,Friends
20,2,El de Frank Jr.,26,3,Friends
21,2,El de la medusa,22,4,Friends
22,2,El de la gata,26,4,Friends
23,2,El de las esposas,24,4,Friends
24,2,El de los bailes de salón,24,4,Friends
25,2,El de la nueva novia de Joey,26,4,Friends
26,2,El de después de que Ross dijera el nombre de Rachel,22,5,Friends
27,2,El de los besos,24,5,Friends
28,2,El de los trillizos,24,5,Friends
29,2,El que Phoebe odia la PBS,26,5,Friends
30,2,El de los Kips,22,5,Friends
31,3,Dio: el invasor,23,1,Jojo's Bizarre Adventure
32,3,Una carta del pasado,23,1,Jojo's Bizarre Adventure
33,3,Juventud con dio,23,1,Jojo's Bizarre Adventure
34,3,Overdrive,23,1,Jojo's Bizarre Adventure
35,3,Los caballeros oscuros,23,1,Jojo's Bizarre Adventure
36,3,El jojo de nueva york,23,2,Jojo's Bizarre Adventure
37,3,El maestro del juego,23,2,Jojo's Bizarre Adventure
38,3,El hombre del pilar,23,2,Jojo's Bizarre Adventure
39,3,Jojo vs. la forma de vida definitiva,23,2,Jojo's Bizarre Adventure
40,3,Los guerreros definitivos de tiempos antiguos,23,2,Jojo's Bizarre Adventure
41,3,un hombre poseído por un espíritu maligno,23,3,Jojo's Bizarre Adventure
42,3,¡¿quién será el juez?!,23,3,Jojo's Bizarre Adventure
43,3,La maldición de dio,23,3,Jojo's Bizarre Adventure
44,3,Tower of gray,23,3,Jojo's Bizarre Adventure
45,3,Silver Chariot,23,3,Jojo's Bizarre Adventure
46,3,¡Jotaro Kujo! Conoce a Josuke Higashikata,23,4,Jojo's Bizarre Adventure
47,3,¡Josuke Higashikata! Conoce a Angelo,23,4,Jojo's Bizarre Adventure
48,3,Los Hermanos Nijimura (Parte 1),23,4,Jojo's Bizarre Adventure
49,3,Los Hermanos Nijimura (Parte 2),23,4,Jojo's Bizarre Adventure
50,3,Los Hermanos Nijimura (Parte 3),23,4,Jojo's Bizarre Adventure
51,4,El regreso a casa,22,1,Naruto Shippuden
52,4,El Akatsuki comienza a moverse,20,1,Naruto Shippuden
53,4,El nuevo objetivo,22,2,Naruto Shippuden
54,4,¡Formación: el nuevo equipo Kakashi!,20,2,Naruto Shippuden
55,4,Pesadilla,21,3,Naruto Shippuden
56,4,Viento,20,3,Naruto Shippuden
57,4,La amenaza que se acerca en silencio,20,4,Naruto Shippuden
58,4,La invasión de Akatsuki,21,4,Naruto Shippuden
59,4,El precio del poder,20,5,Naruto Shippuden
60,4,Un asunto shinobi,21,5,Naruto Shippuden
61,4,La pupila de la serpiente,20,6,Naruto Shippuden
62,4,Ojo de halcón,20,6,Naruto Shippuden
63,4,El viajero,20,7,Naruto Shippuden
64,4,El sucesor de la técnica prohibida,22,7,Naruto Shippuden
65,1,Episode 1,62,2,Sex Education
66,1,Episode 2,66,2,Sex Education
67,1,Episode 3,59,2,Sex Education
68,1,Episode 4,65,2,Sex Education
69,1,Episode 5,64,2,Sex Education
70,5,Secretos,51,1,Dark
71,5,Mentiras,44,1,Dark
72,5,Principios y finales,53,2,Dark
73,5,Materia oscura,54,2,Dark
74,5,Deja vu,60,3,Dark
75,5,Los sobrevivientes,59,3,Dark
76,6,El comienzo,29,1,31 minutos
77,6,El arbol furioso,31,1,31 minutos
78,6,Vacaciones,34,2,31 minutos
79,6,Relox,32,2,31 minutos
80,6,Por el sr. manguera,28,3,31 minutos
