id_proveedor,id_pelicula
1,2
1,23
1,26
1,39
1,49
1,54
1,76
1,77
1,83
1,100
1,101
2,2
2,14
2,35
2,43
2,75
2,78
2,80
3,5
3,29
3,50
3,59
3,64
4,17
4,41
4,42
4,50
4,60
4,65
4,72
4,101
5,5
5,48
5,50
5,51
5,54
5,65
5,81
5,83
5,85
5,88
6,17
6,26
6,39
6,53
6,61
6,75
6,95
7,8
7,20
7,21
7,32
7,35
7,42
7,48
7,64
7,70
7,75
7,82
7,95
8,40
8,93
9,31
9,54
9,99
10,1
10,5
10,20
10,66
10,72
10,82
10,96
10,101
11,5
11,9
11,13
11,36
11,62
11,74
11,78
11,84
12,40
12,42
12,68
12,72
12,74
12,81
12,88
13,13
13,20
13,30
13,31
13,44
13,45
13,66
13,73
13,97
13,99
14,7
14,19
14,35
14,52
14,60
14,74
14,83
14,85
14,99
15,2
15,27
15,90
15,100
16,5
16,19
16,21
16,38
16,45
16,49
16,65
16,80
16,95
17,7
17,11
17,19
17,34
17,42
17,48
17,75
18,8
18,33
18,34
18,37
18,38
18,48
18,54
18,76
18,77
18,94
18,100
19,1
19,37
19,38
19,62
19,64
19,68
19,72
19,78
19,79
19,96
19,97
19,99
20,86
